City,Zip,Station,Address,Base,Discount,Lat,Long,Net
Columbia (Town Center),21044,BP,"5485 HARPERS FARM RD, 21044",3.95,BP,39.2220799,-76.8907487,3.9
Columbia (Town Center),21044,Sunoco,"6440 Freetown Rd, 21044",4.15,Sunoco,39.1950229,-76.8817831,4.12
Columbia (Town Center),21044,Exxon,"10141 Little Patuxent Pkwy, 21044",4.29,Exxon,39.2181995,-76.8577067,4.26
Columbia (East),21045,7-Eleven,"8251 Snowden River Pkwy, 21045",3.48,7-Eleven,39.2090716,-76.8034905,3.45
Columbia (East),21045,Shell,"7248 Cradlerock Way, 21045",3.55,Shell,39.1862523,-76.8457193,3.5
Columbia (East),21045,Liberty,"6425 Dobbin Center Way, 21045",3.59,-,39.1968235,-76.8216821,3.59
Columbia (East),21045,Exxon,"7100 Minstrel Way, 21045",3.59,Exxon,39.177736,-76.84448,3.56
Columbia (East),21045,Mobil,"6251 Columbia Crossing Cir, 21045",3.79,Mobil,39.1995215,-76.8147128,3.76
Columbia (East),21045,7-Eleven,"5901 Stevens Forest Rd, 21045",3.78,7-Eleven,39.210533,-76.847772,3.75
Columbia (East),21045,Exxon,"6004 Foreland Garth, 21045",3.89,Exxon,39.2049806,-76.8164844,3.86
Columbia (South),21046,Royal Farms,"7084 Minstrel Way, 21046",3.49,Royal Farms,39.1759477,-76.8444624,3.39
Columbia (South),21046,Shell,"9101 Snowden River Pkwy, 21046",3.69,Shell,39.1827983,-76.8205935,3.64
Columbia (South),21046,Exxon,"6300 Stevens Forest, 21046",3.59,Exxon,39.1973061,-76.8530941,3.56
Ellicott City (West),21042,Mobil,"9320 Baltimore National Pike, 21042",3.65,Mobil,39.2779163,-76.8325436,3.62
Ellicott City (West),21042,Carroll Motor Fuels,"9109 BALTIMORE NATIONAL PIKE, 21042",3.61,-,39.2771741,-76.8262007,3.61
Ellicott City (West),21042,Dash-In,"9075 Baltimore National Pike, 21042",3.79,-,39.2762251,-76.8250029,3.79
Ellicott City (West),21042,Shell,"4755 Dorsey Hall Dr, 21042",3.99,Shell,39.2423537,-76.8403131,3.94
Ellicott City (East),21043,Carroll Motor Fuels,"8300 Baltimore National Pike, 21043",3.61,-,39.2895052,-76.7997418,3.61
Ellicott City (East),21043,Exxon,"4235 Montgomery Rd, 21043",3.73,Exxon,39.2554156,-76.8184372,3.7
Ellicott City (East),21043,Carroll Motor Fuels,"4132 Old Columbia Pike, 21043",3.71,-,39.2565046,-76.8197592,3.71
Ellicott City (East),21043,Mobil,"4398 Montgomery Rd, 21043",3.79,Mobil,39.2520755,-76.8165282,3.76
Ellicott City (East),21043,Dash In,"4205 Montgomery Rd, 21043",3.79,-,39.2561283,-76.8190081,3.79
Ellicott City (East),21043,Sunoco,"8411 Baltimore National Pike, 21043",3.63,Sunoco,39.2865722,-76.8033853,3.6
Ellicott City (East),21043,High's,"3095 Rogers Ave, 21043",3.67,High's,39.2874075,-76.8091156,3.62
Ellicott City (East),21043,BP,"8505 Baltimore National Pike, 21043",3.41,BP,39.2842309,-76.8075056,3.36
Ellicott City (East),21043,Shell,"5651 Waterloo Rd, 21043",3.95,Shell,39.2170938,-76.806013,3.9
