City,Zip,Station,Address,Base,Net,Discount,Lat,Long
Springfield (East),01104,Cumberland Farms,"798 Carew St, 01104",2.59,2.49,Cumberland,42.1258915,-72.5841307
Springfield (East),01104,BD Mart,"20 East St, 01104",2.6,2.6,-,42.1481272,-72.5629038
Springfield (East),01104,Stop & Shop,"1277 Liberty St, 01104",2.69,2.59,Stop & Shop,42.1373538,-72.5820966
Springfield (East),01104,Racing Mart,"1037 St James Ave, 01104",2.69,2.69,-,42.1371817,-72.5693712
Springfield (East),01104,Pride,"77 West St, 01104",2.87,2.77,Pride,42.1101757,-72.6104717
Springfield (East),01104,Shell,"2221 Main St, 01104",2.89,2.84,Shell,42.1101407,-72.6006844
West Springfield,01089,Mobil,"562 Westfield Rd, 01089",2.58,2.55,Mobil,42.1861117,-72.6524085
West Springfield,01089,Cumberland Farms,"143 Park Ave, 01089",2.59,2.49,Cumberland,42.1047799,-72.6193478
West Springfield,01089,Shell,"173 Elm St, 01089",2.59,2.54,Shell,42.1071429,-72.6236243
West Springfield,01089,Cumberland Farms,"22 Park St, 01089",2.59,2.49,Cumberland,42.1080906,-72.6171258
West Springfield,01089,Speedway,"341 Memorial Ave, 01089",2.67,2.62,Speedway,42.0958494,-72.6025407
West Springfield,01089,Sunny's Convenience Store,"2284 Westfield St, 01089",2.69,2.69,-,42.1044563,-72.6774836
West Springfield,01089,CITGO,"884 Westfield St, 01089",2.69,2.69,-,42.1041073,-72.6386615
West Springfield,01089,Sunoco,"735 Westfield St, 01089",2.69,2.66,Sunoco,42.1033308,-72.6357365
West Springfield,01089,Nouria,"518 Memorial Ave, 01089",2.74,2.74,-,42.0960296,-72.606093
West Springfield,01089,Sunoco,"2668 Westfield St, 01089",2.79,2.76,Sunoco,42.1055072,-72.6277952
West Springfield,01089,Pride,"757 Riverdale St, 01089",2.94,2.84,Pride,42.1246626,-72.625502
West Springfield,01089,Pride,"1247 Riverdale St, 01089",2.94,2.84,Pride,42.1379202,-72.6252571
West Springfield,01089,Shell,"1130 Riverdale St, 01089",2.94,2.89,Shell,42.1348232,-72.6261928
Westfield,01085,Shell,"259 N Elm St, 01085",2.65,2.6,Shell,42.1359276,-72.7389062
Westfield,01085,CITGO,"439 N Elm St, 01085",2.64,2.64,-,42.1401791,-72.7333993
Westfield,01085,Cumberland Farms,"1134 Southampton Rd, 01085",2.72,2.62,Cumberland,42.1825106,-72.7271699
Westfield,01085,Irving,"1400 Russel Rd, 01085",2.72,2.72,-,,
Westfield,01085,Big Y Express,"330 E Main St, 01085",2.84,2.79,Big Y,42.1137756,-72.7238961
Westfield,01085,Pride,"234 E Main St, 01085",2.89,2.79,Pride,42.1150935,-72.7284631
Chicopee,01020,Sunoco,"2041 Memorial Dr, 01020",2.52,2.49,Sunoco,42.2131424,-72.5723361
Chicopee,01020,Pride,"363 Burnett Rd, 01020",2.59,2.49,Pride,42.1661787,-72.5451161
Chicopee,01020,Pilot,"357 Burnett Rd, 01020",2.59,2.59,-,42.1661237,-72.546029
Holyoke,01040,Gulf,"636 Main St, 01040",2.59,2.59,-,42.1946426,-72.6120453
Holyoke,01040,Stop and Shop,"2265 Northampton, 01040",2.63,2.63,-,42.1816881,-72.6330639
Holyoke,01040,Stop & Shop,"2265 Northampton St, 01040",2.63,2.53,Stop & Shop,42.1816881,-72.6330639
Holyoke,01040,Shell,"225 Whiting Farms Rd, 01040",2.93,2.88,Shell,42.1748898,-72.6408246
Holyoke,01040,Pride,"1553 Dwight St, 01040",2.84,2.74,Pride,42.21103,-72.6281361
South Hadley,01075,White Wing,"568 Newton St, 01075",2.59,2.59,-,42.2396215,-72.5815538
South Hadley,01075,Big Y Express,"467 Newton St, 01075",2.64,2.59,Big Y,42.235783,-72.5828163
South Hadley,01075,Gulf,"72 Lamb St, 01075",3.09,3.09,-,42.219949,-72.5918302
Easthampton,01027,Cumberland Farms,"231 Northampton St, 01027",2.95,2.85,Cumberland,42.2870731,-72.6626681
Easthampton,01027,Pride,"60 Union St, 01027",2.99,2.89,Pride,42.2681716,-72.6714491
Easthampton,01027,7-Eleven,"97 Union St, 01027",2.95,2.92,7-Eleven,42.2669407,-72.6696351
Northampton,01060,Big Y Express,"188 N King St, 01060",2.74,2.69,Big Y,42.3270234,-72.6334485
Northampton,01060,Cumberland Farms,"134 King St, 01060",2.81,2.71,Cumberland,42.3306927,-72.6341751
Northampton,01060,Stop & Shop,"228 King St, 01060",2.79,2.69,Stop & Shop,42.3290172,-72.6358623
Northampton,01060,Racing Mart,"54 Easthampton Rd, 01060",2.89,2.89,-,42.3052292,-72.6491003
Northampton,01060,Pride,"375 King St, 01060",2.89,2.79,Pride,42.3374852,-72.6366284
Northampton,01060,Sunoco,"776 N King St, 01060",2.89,2.86,Sunoco,42.3622644,-72.6390352
Northampton,01060,Shell,"506 Pleasant St, 01060",2.89,2.84,Shell,42.3114138,-72.6238099
Hadley,01035,Stop & Shop,"446 Russell St, 01035",2.84,2.74,Stop & Shop,42.3646637,-72.5379721
Hadley,01035,Pride,"25 Russell St, 01035",2.85,2.75,Pride,42.33861,-72.60906
Hadley,01035,Pride,"445 Russell St, 01035",2.94,2.84,Pride,42.3632797,-72.5387719
Amherst,01002,Cumberland Farms,"389 College St, 01002",2.85,2.75,Cumberland,42.373216,-72.5193521
Amherst,01002,Speedway,"468 West St, 01002",2.84,2.79,Speedway,42.3420911,-72.5198559
Ludlow,01033,Cumberland Farms,"74 W State St, 01033",2.69,2.59,Cumberland,42.2466124,-72.5432172
South Deerfield,01373,Cumberland Farms,"31 Elm St, 01373",2.89,2.79,Cumberland,42.4769319,-72.6127799
South Deerfield,01373,Irving,"1 Greenfield Rd, 01373",2.89,2.89,-,42.4708672,-72.6158055
Greenfield,01301,Shell,"100 Mohawk Tr, 01301",2.69,2.64,Shell,,
Greenfield,01301,Stop & Shop,"488 Bernardston Rd, 01301",2.71,2.61,Stop & Shop,42.6094682,-72.5869418
Greenfield,01301,Irving,"223 Mohawk Tr, 01301",2.74,2.74,-,,
Greenfield,01301,Speedway,"245 Federal St, 01301",2.73,2.68,Speedway,42.5981415,-72.5957967
Greenfield,01301,Sandri,"295 Federal St, 01301",2.73,2.73,-,42.600351,-72.5939125
Greenfield,01301,Shell,"242 Mohawk Tr, 01301",2.79,2.74,Shell,,
Greenfield,01301,Sunoco,"416 Federal St, 01301",2.86,2.83,Sunoco,42.6060538,-72.5895143
Greenfield,01301,Mobil,"142 Mohawk Tr, 01301",2.69,2.66,Mobil,,
Agawam,01001,CITGO,"650 Suffield St, 01001",2.69,2.69,-,42.0675744,-72.6317643
Agawam,01001,Gulf,"18 Springfield St, 01001",2.79,2.79,-,42.0897213,-72.6280116
Agawam,01001,Mobil,"308 Suffield St, 01001",2.79,2.76,Mobil,42.0790669,-72.6300928
Agawam,01001,Cumberland Farms,"837 Suffield St, 01001",2.74,2.64,Cumberland,42.0606701,-72.6315678
