City,Zip,Station,Address,Base,Discount,Lat,Long,Net
Riverhead,11901,Mobil,"1575 Old Country Rd, 11901",3.99,Mobil,40.9252206,-72.6951725,3.96
Riverhead,11901,76,"301 Flanders Rd, 11901",4.0,-,40.9120984,-72.6478696,4.0
Riverhead,11901,Speedway,"870 Old Country Rd, 11901",4.19,Speedway,40.9346058,-72.6699464,4.14
Riverhead,11901,BP,"626 W Main St, 11901",4.04,BP,40.9184063,-72.6731535,3.99
Westhampton Beach,11978,7-Eleven,"107 Old Riverhead Rd, 11978",4.19,7-Eleven,40.8300726,-72.6474301,4.16
Quogue,11959,Speedway,"38 Montauk Hwy, 11959",4.19,Speedway,40.88464,-72.4264717,4.14
Hampton Bays,11946,7-Eleven,"192 W Montauk hwy, 11946",4.09,7-Eleven,40.8766328,-72.5321733,4.06
Hampton Bays,11946,Mobil,"239 W Montauk Hwy, 11946",4.09,Mobil,40.8659062,-72.5490604,4.06
Southampton,11968,Shell,"1630 CR-39, 11968",3.97,Shell,40.8949342,-72.4534478,3.92
Southampton,11968,Speedway,"816 CR-39, 11968",4.19,Speedway,40.8926889,-72.4251772,4.14
Water Mill,11976,Speedway,"1138 Montauk Hwy, 11976",4.19,Speedway,40.9192162,-72.3436923,4.14
Sag Harbor,11963,Gulf,"144 Hampton St, 11963",4.49,-,40.9957393,-72.2839455,4.49
Wainscott,11975,Speedway,"Unknown Address, 11975",4.29,Speedway,40.9487031,-72.2446628,4.24
East Hampton,11937,ROYAL,"23 Three Mile Harbor Rd, 11937",4.63,-,40.97458,-72.1821194,4.63
