City,Zip,Station,Address,Base,Discount,Lat,Long,Net
Springfield (East),01104,Pride,"549 Page Blvd, 01104",4.09,Pride,42.1395392,-72.5601149,3.99
Springfield (East),01104,CITGO,"1271 Page Blvd, 01104",4.15,-,42.1498946,-72.5374867,4.15
Springfield (East),01104,Stop & Shop,"1277 Liberty St, 01104",4.19,Stop & Shop,42.1373538,-72.5820966,4.09
Springfield (East),01104,CITGO,"289 Carew St, 01104",4.17,-,42.149015,-72.5644193,4.17
Springfield (East),01104,Pride,"77 West St, 01104",4.29,Pride,42.1435596,-72.6112724,4.19
Springfield (East),01104,Gulf,"1100 Page Blvd, 01104",4.09,-,42.1397596,-72.5602116,4.09
