City,Zip,Station,Address,Base,Net,Discount,Lat,Long
Scaggsville / Laurel,20723,7-Eleven,"9651 Washington Blvd N, 20723",2.85,2.82,7-Eleven,39.1180551,-76.8297577
Scaggsville / Laurel,20723,Exxon,"8850 Gorman Rd, 20723",3.09,3.06,Exxon,39.1315805,-76.8205188
Scaggsville / Laurel,20723,Exxon,"9275 All Saints Rd, 20723",3.09,3.06,Exxon,39.1189484,-76.8513125
Columbia (Wilde Lake / Town Center),21044,BP,"5485 HARPERS FARM RD, 21044",3.29,3.24,BP,39.2233311,-76.8893644
Columbia (Wilde Lake / Town Center),21044,Exxon,"10611 Little Patuxent Pkwy, 21044",3.59,3.56,Exxon,39.213332,-76.8709132
Columbia (Wilde Lake / Town Center),21044,Exxon,"10141 Little Patuxent Pkwy, 21044",3.65,3.62,Exxon,39.2181995,-76.8577067
Columbia (East),21045,Liberty,"6425 Dobbin Center Way, 21045",2.85,2.85,-,39.1968235,-76.8216821
Columbia (East),21045,7-Eleven,"5901 Stevens Forest Rd, 21045",2.88,2.85,7-Eleven,39.210533,-76.847772
Columbia (East),21045,7-Eleven,"8251 Snowden River Pkwy, 21045",2.88,2.85,7-Eleven,39.2090716,-76.8034905
Columbia (East),21045,Mobil,"6251 Columbia Crossing Cir, 21045",2.99,2.96,Mobil,39.1995215,-76.8147128
Columbia (East),21045,Shell,"7248 Cradlerock Way, 21045",2.99,2.94,Shell,39.1862523,-76.8457193
Columbia (East),21045,Exxon,"6004 Foreland Garth, 21045",2.99,2.96,Exxon,39.2049806,-76.8164844
Columbia (Guilford),21046,Exxon,"6300 Stevens Forest, 21046",2.99,2.96,Exxon,39.1973061,-76.8530941
Columbia (Guilford),21046,Shell,"9101 Snowden River Pkwy, 21046",3.05,3.0,Shell,39.1827983,-76.8205935
Columbia (Guilford),21046,Royal Farms,"7084 Minstrel Way, 21046",2.89,2.79,Royal Farms,39.1759477,-76.8444624
Ellicott City (Central),21042,Carroll Motor Fuels,"9109 BALTIMORE NATIONAL PIKE, 21042",2.81,2.81,-,39.2771741,-76.8262007
Ellicott City (Central),21042,Dash-In,"9075 Baltimore National Pike, 21042",2.89,2.89,-,39.2762251,-76.8250029
Ellicott City (Central),21042,Mobil,"9320 Baltimore National Pike, 21042",2.94,2.91,Mobil,39.2779163,-76.8325436
Ellicott City (Central),21042,Sunoco,"10214 Baltimore National Pike, 21042",2.95,2.92,Sunoco,39.2803307,-76.8652201
Ellicott City (Central),21042,Sunoco,"9395 Baltimore National Pike, 21042",2.99,2.96,Sunoco,39.2772371,-76.8350415
Ellicott City (Central),21042,Shell,"4755 Dorsey Hall Dr, 21042",3.29,3.24,Shell,39.2423537,-76.8403131
Ellicott City (North),21043,Carroll Motor Fuels,"8720 Baltimore National Pike, 21043",2.81,2.81,-,39.2808054,-76.8147058
Ellicott City (North),21043,Carroll Motor Fuels,"4132 Old Columbia Pike, 21043",2.81,2.81,-,39.2565046,-76.8197592
