City,Zip,Station,Address,Base,Net,Discount,Lat,Long
Scaggsville / Laurel,20723,7-Eleven,"9651 Washington Blvd N, 20723",2.79,2.76,7-Eleven,39.1180551,-76.8297577
Scaggsville / Laurel,20723,Exxon,"9275 All Saints Rd, 20723",2.84,2.81,Exxon,39.1189484,-76.8513125
Scaggsville / Laurel,20723,Exxon,"8850 Gorman Rd, 20723",3.05,3.02,Exxon,39.1315805,-76.8205188
Scaggsville / Laurel,20723,Weis,"9250 Washington Blvd N, 20723",3.05,3.05,-,39.1180551,-76.8297577
Scaggsville / Laurel,20723,Exxon,"7500 Montpelier Rd, 20723",3.29,3.26,Exxon,39.159558,-76.893227
Columbia (Wilde Lake / Town Center),21044,BP,"5485 HARPERS FARM RD, 21044",3.14,3.09,BP,39.2220799,-76.8907487
Columbia (Wilde Lake / Town Center),21044,Sunoco,"6440 Freetown Rd, 21044",3.29,3.26,Sunoco,39.1950229,-76.8817831
Columbia (Wilde Lake / Town Center),21044,Exxon,"10141 Little Patuxent Pkwy, 21044",3.59,3.56,Exxon,39.2181995,-76.8577067
Columbia (East),21045,Liberty,"6425 Dobbin Center Way, 21045",2.59,2.59,-,39.1968235,-76.8216821
Columbia (East),21045,7-Eleven,"5901 Stevens Forest Rd, 21045",2.99,2.96,7-Eleven,39.210533,-76.847772
Columbia (East),21045,Exxon,"6004 Foreland Garth, 21045",2.99,2.96,Exxon,39.2049806,-76.8164844
Columbia (East),21045,Mobil,"6251 Columbia Crossing Cir, 21045",3.05,3.02,Mobil,39.1995215,-76.8147128
Columbia (East),21045,7-Eleven,"8251 Snowden River Pkwy, 21045",3.04,3.01,7-Eleven,39.2090716,-76.8034905
Columbia (East),21045,Exxon,"7100 Minstrel Way, 21045",3.05,3.02,Exxon,39.177736,-76.84448
Columbia (East),21045,Shell,"7248 Cradlerock Way, 21045",2.85,2.8,Shell,39.1862523,-76.8457193
Columbia (Guilford),21046,Exxon,"6300 Stevens Forest, 21046",2.79,2.76,Exxon,39.1973061,-76.8530941
Columbia (Guilford),21046,Royal Farms,"7084 Minstrel Way, 21046",2.98,2.88,Royal Farms,39.1759477,-76.8444624
Columbia (Guilford),21046,Shell,"9101 Snowden River Pkwy, 21046",2.89,2.84,Shell,39.1827983,-76.8205935
