City,Zip,Station,Address,Base,Net,Discount,Lat,Long
Springfield (East),01104,BJ’s Wholesale Club,"1655 Boston Rd, 01104",2.49,2.49,-,,
Springfield (East),01104,Stop & Shop,"1277 Liberty St, 01104",2.53,2.43,Stop & Shop,,
Springfield (East),01104,Cumberland Farms,"798 Carew St, 01104",2.57,2.47,Cumberland,,
Springfield (East),01104,CITGO,"289 Carew St, 01104",2.57,2.57,-,,
Springfield (East),01104,Racing Mart,"612 Carew St, 01104",2.59,2.59,-,,
Springfield (East),01104,Racing Mart,"1037 St James Ave, 01104",2.69,2.69,-,,
Springfield (East),01104,CITGO,"1271 Page Blvd, 01104",2.75,2.75,-,,
Springfield (East),01104,Pride,"77 West St, 01104",2.84,2.74,Pride,,
Springfield (East),01104,Pride,"549 Page Blvd, 01104",2.89,2.79,Pride,,
Springfield (East),01104,Shell,"2221 Main St, 01104",2.89,2.84,Shell,,
West Springfield,01089,Mobil,"562 Westfield Rd, 01089",2.58,2.55,Mobil,,
West Springfield,01089,Cumberland Farms,"143 Park Ave, 01089",2.59,2.49,Cumberland,,
West Springfield,01089,Shell,"173 Elm St, 01089",2.59,2.54,Shell,,
West Springfield,01089,Cumberland Farms,"22 Park St, 01089",2.59,2.49,Cumberland,,
West Springfield,01089,Sunny's Convenience Store,"2284 Westfield St, 01089",2.69,2.69,-,,
West Springfield,01089,Speedway,"341 Memorial Ave, 01089",2.71,2.66,Speedway,,
West Springfield,01089,CITGO,"884 Westfield St, 01089",2.69,2.69,-,,
West Springfield,01089,Sunoco,"735 Westfield St, 01089",2.69,2.66,Sunoco,,
West Springfield,01089,Nouria,"518 Memorial Ave, 01089",2.74,2.74,-,,
West Springfield,01089,Sunoco,"2668 Westfield St, 01089",2.79,2.76,Sunoco,,
West Springfield,01089,Pride,"757 Riverdale St, 01089",2.89,2.79,Pride,,
West Springfield,01089,Pride,"1247 Riverdale St, 01089",2.89,2.79,Pride,,
West Springfield,01089,Shell,"1130 Riverdale St, 01089",2.94,2.89,Shell,,
Westfield,01085,CITGO,"41 Franklin St, 01085",2.63,2.63,-,,
Westfield,01085,Mobil,"181 Elm St, 01085",2.68,2.65,Mobil,,
Westfield,01085,Irving,"1400 Russel Rd, 01085",2.69,2.69,-,,
Westfield,01085,Shell,"27 Southwick Rd, 01085",2.69,2.64,Shell,,
Westfield,01085,Shell,"259 N Elm St, 01085",2.69,2.64,Shell,,
Westfield,01085,CITGO,"439 N Elm St, 01085",2.68,2.68,-,,
Westfield,01085,Mobil,"162 Southampton Rd, 01085",2.72,2.69,Mobil,,
Westfield,01085,Cumberland Farms,"1134 Southampton Rd, 01085",2.72,2.62,Cumberland,,
Westfield,01085,Big Y Express,"330 E Main St, 01085",2.78,2.73,Big Y,,
Westfield,01085,Pride,"234 E Main St, 01085",2.81,2.71,Pride,,
Westfield,01085,Gulf,"278 Elm St, 01085",2.79,2.79,-,,
Chicopee,01020,Gulf,"646 Grattan Street, 01020",2.55,2.55,-,,
Chicopee,01020,Sunoco,"2041 Memorial Dr, 01020",2.52,2.49,Sunoco,,
Chicopee,01020,CITGO,"947 Burnett Rd, 01020",2.57,2.57,-,,
Chicopee,01020,F.L. Roberts,"2012 Memorial Dr, 01020",2.59,2.59,-,,
Chicopee,01020,Pilot,"357 Burnett Rd, 01020",2.59,2.59,-,,
Chicopee,01020,Stop & Shop,"672 Memorial Dr, 01020",2.65,2.55,Stop & Shop,,
Chicopee,01020,Big Y Express,"1177 Granby Rd, 01020",2.64,2.59,Big Y,,
Chicopee,01020,CITGO,"451 Grattan St, 01020",2.65,2.65,-,,
Chicopee,01020,Sunoco,"560 East St, 01020",2.79,2.76,Sunoco,,
Chicopee,01020,Pride,"27 Montgomery St, 01020",2.84,2.74,Pride,,
Chicopee,01020,Sunoco,"500 Montgomery St, 01020",2.84,2.81,Sunoco,,
Chicopee,01020,Pride,"363 Burnett Rd, 01020",2.59,2.49,Pride,,
Chicopee,01020,Cumberland Farms,"37 Montcalm St, 01020",2.64,2.54,Cumberland,,
Chicopee,01020,Shell,"197 Grove St, 01020",2.99,2.94,Shell,,
Chicopee,01020,CITGO,"1875 Memorial Dr, 01020",2.69,2.69,-,,
Holyoke,01040,Gulf,"820 High St, 01040",2.65,2.65,-,,
Holyoke,01040,Stop and Shop,"2265 Northampton, 01040",2.69,2.69,-,,
Holyoke,01040,Racing Mart,"330 Main St, 01040",2.59,2.59,-,,
Holyoke,01040,Holyoke Station,"1635 Northampton St, 01040",2.75,2.75,-,,
Holyoke,01040,Stop & Shop,"2265 Northampton St, 01040",2.69,2.59,Stop & Shop,,
Holyoke,01040,Shell,"225 Whiting Farms Rd, 01040",2.89,2.84,Shell,,
Holyoke,01040,Pride,"1553 Dwight St, 01040",2.84,2.74,Pride,,
South Hadley,01075,White Wing,"568 Newton St, 01075",2.59,2.59,-,,
South Hadley,01075,Cumberland Farms,"507 Newton St, 01075",2.64,2.54,Cumberland,,
South Hadley,01075,Gulf,"72 Lamb St, 01075",3.09,3.09,-,,
South Hadley,01075,Mobil,"483 Granby Rd, 01075",2.89,2.86,Mobil,,
Easthampton,01027,Cumberland Farms,"231 Northampton St, 01027",2.95,2.85,Cumberland,,
Easthampton,01027,Pride,"60 Union St, 01027",2.99,2.89,Pride,,
Easthampton,01027,7-Eleven,"97 Union St, 01027",2.95,2.92,7-Eleven,,
Northampton,01060,Big Y Express,"188 N King St, 01060",2.81,2.76,Big Y,,
Northampton,01060,Racing Mart,"54 Easthampton Rd, 01060",2.89,2.89,-,,
Northampton,01060,Pride,"375 King St, 01060",2.89,2.79,Pride,,
Northampton,01060,Stop & Shop,"228 King St, 01060",2.89,2.79,Stop & Shop,,
Northampton,01060,Shell,"506 Pleasant St, 01060",2.89,2.84,Shell,,
Northampton,01060,Cumberland Farms,"134 King St, 01060",2.81,2.71,Cumberland,,
Northampton,01060,Mobil,"15 Locust, 01060",2.85,2.82,Mobil,,
Northampton,01060,Sunoco,"776 N King St, 01060",2.89,2.86,Sunoco,,
Hadley,01035,Cumberland Farms,"109 Russell St, 01035",2.79,2.69,Cumberland,,
Hadley,01035,Mobil,"110 Russell St, 01035",2.82,2.79,Mobil,,
Hadley,01035,Big Y Express,"73 Russell St, 01035",2.82,2.77,Big Y,,
Hadley,01035,Stop & Shop,"446 Russell St, 01035",2.85,2.75,Stop & Shop,,
Hadley,01035,Pride,"25 Russell St, 01035",2.85,2.75,Pride,,
Hadley,01035,Pride,"445 Russell St, 01035",2.86,2.76,Pride,,
Amherst,01002,F.L. Roberts,"399 Northampton Rd, 01002",2.87,2.87,-,,
Amherst,01002,Speedway,"468 West St, 01002",2.85,2.8,Speedway,,
Amherst,01002,Cumberland Farms,"389 College St, 01002",2.85,2.75,Cumberland,,
Ludlow,01033,Cumberland Farms,"74 W State St, 01033",2.71,2.61,Cumberland,,
South Deerfield,01373,Roady's,"372 State Rd., 01373",2.88,2.88,-,,
South Deerfield,01373,Cumberland Farms,"31 Elm St, 01373",2.89,2.79,Cumberland,,
South Deerfield,01373,Irving,"1 Sunderland Rd, 01373",2.89,2.89,-,,
South Deerfield,01373,Irving,"1 Greenfield Rd, 01373",2.89,2.89,-,,
South Deerfield,01373,Neighbors Convenience Store,"242 Conway Rd, 01373",2.96,2.96,-,,
Greenfield,01301,Cumberland Farms,"317 Federal St, 01301",2.73,2.63,Cumberland,,
Greenfield,01301,Irving,"223 Mohawk Tr, 01301",2.76,2.76,-,,
Greenfield,01301,Stop & Shop,"488 Bernardston Rd, 01301",2.75,2.65,Stop & Shop,,
Greenfield,01301,Speedway,"245 Federal St, 01301",2.76,2.71,Speedway,,
Greenfield,01301,Shell,"100 Mohawk Tr, 01301",2.77,2.72,Shell,,
