City,Zip,Station,Address,Base,Discount,Lat,Long,Net
Riverhead,11901,76,"301 Flanders Rd, 11901",4.39,-,40.9120984,-72.6478696,4.39
Riverhead,11901,Sunoco,"1879 Old Country Rd 58, 11901",4.35,Sunoco,,,4.32
Riverhead,11901,Empire,"1050 Osborne Ave, 11901",4.39,-,40.8032257,-72.7577586,4.39
Riverhead,11901,76,"7 Peconic Ave, 11901",4.39,-,40.9149773,-72.6623567,4.39
Riverhead,11901,76,"415 Flanders Rd, 11901",4.39,-,40.9119534,-72.6471547,4.39
Riverhead,11901,Speedway,"870 Old Country Rd, 11901",4.43,Speedway,40.9346058,-72.6699464,4.38
Riverhead,11901,Shell,"1733 Old Country Rd, 11901",4.35,Shell,40.9239801,-72.7023482,4.3
