City,Zip,Station,Address,Base,Discount,Lat,Long,Net
Riverhead,11901,Shell,"1733 Old Country Rd, 11901",4.29,Shell,40.9239801,-72.7023482,4.24
Riverhead,11901,Sunoco,"1879 Old Country Rd 58, 11901",4.29,Sunoco,,,4.26
Riverhead,11901,BP,"626 W Main St, 11901",4.35,BP,40.9184063,-72.6731535,4.3
Riverhead,11901,Mobil,"1575 Old Country Rd, 11901",4.29,Mobil,40.9252206,-72.6951725,4.26
Riverhead,11901,Speedway,"870 Old Country Rd, 11901",4.39,Speedway,40.9346058,-72.6699464,4.34
Riverhead,11901,Empire,"1050 Osborne Ave, 11901",4.29,-,40.8032257,-72.7577586,4.29
Riverhead,11901,76,"7 Peconic Ave, 11901",4.19,-,40.9149773,-72.6623567,4.19
Westhampton Beach,11978,7-Eleven,"107 Old Riverhead Rd, 11978",4.39,7-Eleven,40.8300726,-72.6474301,4.36
Quogue,11959,Speedway,"38 Montauk Hwy, 11959",4.39,Speedway,40.88464,-72.4264717,4.34
Hampton Bays,11946,7-Eleven,"192 W Montauk hwy, 11946",4.29,7-Eleven,40.8766328,-72.5321733,4.26
Hampton Bays,11946,Mobil,"239 W Montauk Hwy, 11946",4.19,Mobil,40.8659062,-72.5490604,4.16
Southampton,11968,Speedway,"816 CR-39, 11968",4.39,Speedway,40.8926889,-72.4251772,4.34
Water Mill,11976,Speedway,"1138 Montauk Hwy, 11976",4.19,Speedway,40.9192162,-72.3436923,4.14
Sag Harbor,11963,Gulf,"144 Hampton St, 11963",4.99,-,40.9957393,-72.2839455,4.99
Wainscott,11975,Speedway,"Unknown Address, 11975",4.29,Speedway,40.9487031,-72.2446628,4.24
East Hampton,11937,ROYAL,"23 Three Mile Harbor Rd, 11937",4.79,-,40.97458,-72.1821194,4.79
East Hampton,11937,Empire,"148 N Main St, 11937",4.65,-,40.9710495,-72.1815024,4.65
