City,Zip,Station,Address,Base,Discount,Lat,Long,Net
Scaggsville / Laurel,20723,Weis,"9250 Washington Blvd N, 20723",4.15,-,42.739557,-83.0334814,4.15
Scaggsville / Laurel,20723,Exxon,"8850 Gorman Rd, 20723",4.49,Exxon,39.1315805,-76.8205188,4.46
Scaggsville / Laurel,20723,Exxon,"9275 All Saints Rd, 20723",4.39,Exxon,39.1189484,-76.8513125,4.36
Scaggsville / Laurel,20723,Exxon,"7500 Montpelier Rd, 20723",4.49,Exxon,39.159558,-76.893227,4.46
Scaggsville / Laurel,20723,7-Eleven,"9651 Washington Blvd N, 20723",4.49,7-Eleven,42.739557,-83.0334814,4.46
Columbia (Town Center),21044,Sunoco,"6440 Freetown Rd, 21044",4.69,Sunoco,39.1950229,-76.8817831,4.66
Columbia (Town Center),21044,Exxon,"10141 Little Patuxent Pkwy, 21044",4.95,Exxon,39.2181995,-76.8577067,4.92
Columbia (East),21045,Liberty,"6425 Dobbin Center Way, 21045",4.09,-,39.1968235,-76.8216821,4.09
Columbia (East),21045,Mobil,"6251 Columbia Crossing Cir, 21045",4.49,Mobil,39.1995215,-76.8147128,4.46
Columbia (East),21045,Shell,"7248 Cradlerock Way, 21045",4.39,Shell,39.1862523,-76.8457193,4.34
Columbia (East),21045,Exxon,"6004 Foreland Garth, 21045",4.39,Exxon,39.2049806,-76.8164844,4.36
Columbia (East),21045,7-Eleven,"5901 Stevens Forest Rd, 21045",4.49,7-Eleven,39.210533,-76.847772,4.46
Columbia (East),21045,7-Eleven,"8251 Snowden River Pkwy, 21045",4.49,7-Eleven,39.2090716,-76.8034905,4.46
Columbia (East),21045,Exxon,"7100 Minstrel Way, 21045",4.19,Exxon,39.177736,-76.84448,4.16
Columbia (South),21046,Exxon,"7201 Eden Brook Dr, 21046",4.49,Exxon,39.1698781,-76.8656991,4.46
Columbia (South),21046,Shell,"9101 Snowden River Pkwy, 21046",4.39,Shell,39.1827983,-76.8205935,4.34
Columbia (South),21046,Exxon,"6300 Stevens Forest, 21046",4.39,Exxon,39.1973061,-76.8530941,4.36
Columbia (South),21046,Royal Farms,"7084 Minstrel Way, 21046",4.19,Royal Farms,39.1759477,-76.8444624,4.09
Ellicott City (West),21042,Carroll Motor Fuels,"9109 BALTIMORE NATIONAL PIKE, 21042",4.11,-,39.2771741,-76.8262007,4.11
Ellicott City (West),21042,Mobil,"9320 Baltimore National Pike, 21042",4.25,Mobil,39.2779163,-76.8325436,4.22
Ellicott City (West),21042,Dash-In,"9075 Baltimore National Pike, 21042",4.29,-,39.2762251,-76.8250029,4.29
Ellicott City (West),21042,Sunoco,"10214 Baltimore National Pike, 21042",4.35,Sunoco,39.2803307,-76.8652201,4.32
Ellicott City (West),21042,Exxon,"10193 Baltimore National Pike, 21042",4.39,Exxon,39.2793591,-76.8636316,4.36
Ellicott City (West),21042,Shell,"4755 Dorsey Hall Dr, 21042",4.49,Shell,39.2423537,-76.8403131,4.44
Ellicott City (West),21042,Sunoco,"9395 Baltimore National Pike, 21042",4.39,Sunoco,39.2772371,-76.8350415,4.36
Ellicott City (East),21043,Shell,"64 Frederick Rd, 21043",4.23,Shell,39.2654947,-76.7906258,4.18
Ellicott City (East),21043,BP,"8505 Baltimore National Pike, 21043",4.19,BP,39.2842309,-76.8075056,4.14
Ellicott City (East),21043,Carroll Motor Fuels,"8720 Baltimore National Pike, 21043",4.25,-,39.2808054,-76.8147058,4.25
Ellicott City (East),21043,Carroll Motor Fuels,"4132 Old Columbia Pike, 21043",4.21,-,39.2565046,-76.8197592,4.21
Ellicott City (East),21043,Exxon,"4235 Montgomery Rd, 21043",4.23,Exxon,39.2554156,-76.8184372,4.2
Ellicott City (East),21043,Mobil,"4398 Montgomery Rd, 21043",4.29,Mobil,39.2520755,-76.8165282,4.26
Ellicott City (East),21043,Dash In,"4205 Montgomery Rd, 21043",4.29,-,39.2561283,-76.8190081,4.29
Ellicott City (East),21043,Exxon,"8850 Centre Park Dr, 21043",4.49,Exxon,39.2279074,-76.8127674,4.46
Ellicott City (East),21043,High's,"3095 Rogers Ave, 21043",4.17,High's,39.2874075,-76.8091156,4.12
Ellicott City (East),21043,Shell,"5651 Waterloo Rd, 21043",4.59,Shell,39.2170938,-76.806013,4.54
Ellicott City (East),21043,Sunoco,"8411 Baltimore National Pike, 21043",4.13,Sunoco,39.2865722,-76.8033853,4.1
Ellicott City (East),21043,Carroll Motor Fuels,"8300 Baltimore National Pike, 21043",4.11,-,39.2895052,-76.7997418,4.11
Severn,21144,Sunoco,"8272 Quarterfield Rd, 21144",4.19,Sunoco,39.1165734,-76.681597,4.16
Severn,21144,7-Eleven,"500 Donaldson Ave, 21144",4.49,7-Eleven,39.136636,-76.659232,4.46
Hanover (Arundel Mills),21076,Wawa,"7710 Milestone Pkwy, 21076",4.17,Wawa,39.154105,-76.744585,4.17
Hanover (Arundel Mills),21076,Shell,"2631 Old Annapolis Rd, 21076",4.19,Shell,39.2041164,-76.6417554,4.14
Hanover (Arundel Mills),21076,Exxon,"7898 Ridge Rd, 21076",4.35,Exxon,39.1344773,-76.7347419,4.32
Hanover (Arundel Mills),21076,Royal Farms,"7910 Shipley Homestead Dr, 21076",4.19,Royal Farms,39.1325985,-76.7399104,4.09
