City,Zip,Station,Address,Base,Discount,Lat,Long,Net
Riverhead,11901,Valero,"1356 OLD COUNTRY RD, 11901",4.39,-,40.9283279,-72.6857992,4.39
Riverhead,11901,BP,"626 W Main St, 11901",4.39,BP,40.9184063,-72.6731535,4.34
Riverhead,11901,Empire,"1050 Osborne Ave, 11901",4.37,-,40.8032257,-72.7577586,4.37
Riverhead,11901,76,"7 Peconic Ave, 11901",4.39,-,40.9149773,-72.6623567,4.39
Riverhead,11901,Speedway,"870 Old Country Rd, 11901",4.49,Speedway,40.9346058,-72.6699464,4.44
Riverhead,11901,Shell,"9 Lake Ave, 11901",4.69,Shell,40.9142638,-72.6632928,4.64
