City,Zip,Station,Address,Base,Discount,Lat,Long,Net
Springfield (East),01104,CITGO,"1271 Page Blvd, 01104",4.05,-,42.1498946,-72.5374867,4.05
Springfield (East),01104,Gulf,"1100 Page Blvd, 01104",4.03,-,42.1397596,-72.5602116,4.03
Springfield (East),01104,Racing Mart,"1037 St James Ave, 01104",4.09,-,42.1371817,-72.5693712,4.09
Springfield (East),01104,Pride,"549 Page Blvd, 01104",4.09,Pride,42.1395392,-72.5601149,3.99
Springfield (East),01104,Pride,"77 West St, 01104",4.24,Pride,42.1435596,-72.6112724,4.14
Springfield (East),01104,CITGO,"289 Carew St, 01104",4.07,-,42.149015,-72.5644193,4.07
Springfield (East),01104,Stop & Shop,"1277 Liberty St, 01104",4.19,Stop & Shop,42.1373538,-72.5820966,4.09
