City,Zip,Station,Address,Base,Net,Discount,Lat,Long
Riverhead,11901,Speedway,"870 Old Country Rd, 11901",2.73,2.68,Speedway,40.9346058,-72.6699464
Riverhead,11901,76,"7 Peconic Ave, 11901",2.79,2.79,-,40.9149773,-72.6623567
Riverhead,11901,Mobil,"1575 Old Country Rd, 11901",2.73,2.7,Mobil,40.9252206,-72.6951725
Riverhead,11901,Sunoco,"1879 Old Country Rd 58, 11901",2.89,2.86,Sunoco,,
Westhampton Beach,11978,7-Eleven,"107 Old Riverhead Rd, 11978",2.85,2.82,7-Eleven,40.8300726,-72.6474301
Quogue,11959,Speedway,"38 Montauk Hwy, 11959",2.85,2.8,Speedway,40.88464,-72.4264717
Hampton Bays,11946,7-11,"192 W Montauk hwy, 11946",2.65,2.62,7-11,40.8766328,-72.5321733
Southampton,11968,Speedway,"816 CR-39, 11968",2.89,2.84,Speedway,40.8926889,-72.4251772
Southampton,11968,Shell,"1630 CR-39, 11968",2.79,2.74,Shell,40.8949342,-72.4534478
Water Mill,11976,Speedway,"1138 Montauk Hwy, 11976",3.09,3.04,Speedway,40.9192162,-72.3436923
Bridgehampton,11932,Gulf,"2148 Montauk Hwy, 11932",3.29,3.29,-,40.9335977,-72.3130303
Sag Harbor,11963,Gulf,"144 Hampton St, 11963",3.99,3.99,-,40.9957393,-72.2839455
East Hampton,11937,ROYAL,"23 Three Mile Harbor Rd, 11937",4.13,4.13,-,40.97458,-72.1821194
