City,Zip,Station,Address,Base,Discount,Lat,Long,Net
Springfield (East),01104,CITGO,"289 Carew St Springfield, MA, 01104",3.28,-,42.1162253,-72.5950036,3.28
Springfield (East),01104,Stop & Shop,"1277 Liberty St Springfield, MA, 01104",3.39,Stop & Shop,42.1373538,-72.5820966,3.29
Springfield (East),01104,Cumberland Farms,"798 Carew St Springfield, MA, 01104",3.39,Cumberland,42.1258915,-72.5841307,3.29
Springfield (East),01104,BD Mart,"20 East St Springfield, MA, 01104",3.34,-,42.1481935,-72.6069622,3.34
Springfield (East),01104,Racing Mart,"612 Carew St Springfield, MA, 01104",3.39,-,42.1225238,-72.5887328,3.39
Springfield (East),01104,Pride,"549 Page Blvd Springfield, MA, 01104",3.39,Pride,42.1395392,-72.5601149,3.29
Springfield (East),01104,Speedway,"80 St James Blvd Springfield, MA, 01104",3.49,Speedway,42.1356575,-72.5683105,3.44
Springfield (East),01104,Racing Mart,"1037 St James Ave Springfield, MA, 01104",3.39,-,42.1371817,-72.5693712,3.39
Springfield (East),01104,Pride,"77 West St Springfield, MA, 01104",3.49,Pride,42.1101757,-72.6104717,3.39
Springfield (East),01104,Liberty Gas,"668 Liberty St Springfield, MA, 01104",3.39,-,42.1214212,-72.5846698,3.39
West Springfield,01089,Speedway,"341 Memorial Ave West Springfield, MA, 01089",3.29,Speedway,42.0958494,-72.6025407,3.24
West Springfield,01089,Nouria,"518 Memorial Ave West Springfield, MA, 01089",3.34,-,42.0960296,-72.606093,3.34
West Springfield,01089,Cumberland Farms,"143 Park Ave West Springfield, MA, 01089",3.34,Cumberland,42.1047799,-72.6193478,3.24
West Springfield,01089,Shell,"173 Elm St West Springfield, MA, 01089",3.39,Shell,42.1071429,-72.6236243,3.34
West Springfield,01089,Mobil,"562 Westfield Rd West Springfield, MA, 01089",3.39,Mobil,42.108423,-72.683174,3.36
West Springfield,01089,Cumberland Farms,"22 Park St West Springfield, MA, 01089",3.34,Cumberland,42.1080906,-72.6171258,3.24
West Springfield,01089,Sunoco,"735 Westfield St West Springfield, MA, 01089",3.39,Sunoco,42.1033308,-72.6357365,3.36
West Springfield,01089,Sunny's Convenience Store,"2284 Westfield St West Springfield, MA, 01089",3.47,-,42.1044563,-72.6774836,3.47
West Springfield,01089,Pride,"1247 Riverdale St West Springfield, MA, 01089",3.49,Pride,42.1379202,-72.6252571,3.39
West Springfield,01089,Pride,"757 Riverdale St West Springfield, MA, 01089",3.49,Pride,42.1246626,-72.625502,3.39
West Springfield,01089,Shell,"1130 Riverdale St West Springfield, MA, 01089",3.49,Shell,42.1348232,-72.6261928,3.44
West Springfield,01089,Sunoco,"2668 Westfield St West Springfield, MA, 01089",3.59,Sunoco,42.1063429,-72.6527704,3.56
Westfield,01085,Mobil,"162 Southampton Rd, 01085",3.29,Mobil,42.1460884,-72.7310211,3.26
Westfield,01085,Mobil,"181 Elm St Westfield, MA, 01085",3.29,Mobil,42.1244206,-72.7476514,3.26
Westfield,01085,CITGO,"41 Franklin St Westfield, MA, 01085",3.27,-,42.1250645,-72.7500438,3.27
Westfield,01085,Shell,"259 N Elm St Westfield, MA, 01085",3.29,Shell,42.1359276,-72.7389062,3.24
Westfield,01085,CITGO,"439 N Elm St Westfield, MA, 01085",3.28,-,42.1401791,-72.7333993,3.28
