City,Zip,Station,Address,Base,Net,Discount,Lat,Long
Easthampton,01027,Cumberland Farms,"231 Northampton St, 01027",2.99,2.89,Cumberland,42.2870731,-72.6626681
Northampton,01060,Mobil,"15 Locust, 01060",2.85,2.82,Mobil,42.3316863,-72.6526156
Northampton,01060,Big Y Express,"188 N King St, 01060",2.89,2.84,Big Y,42.3248303,-72.6330713
Northampton,01060,Stop & Shop,"228 King St, 01060",2.89,2.79,Stop & Shop,42.3290172,-72.6358623
Northampton,01060,Pride,"375 King St, 01060",2.89,2.79,Pride,42.3374852,-72.6366284
Northampton,01060,Sunoco,"776 N King St, 01060",2.89,2.86,Sunoco,42.3622644,-72.6390352
Hadley,01035,Pride,"25 Russell St, 01035",2.85,2.75,Pride,42.33861,-72.60906
Hadley,01035,Cumberland Farms,"109 Russell St, 01035",2.91,2.81,Cumberland,42.3414532,-72.5946062
Hadley,01035,Mobil,"110 Russell St, 01035",2.91,2.88,Mobil,42.3424399,-72.595176
Hadley,01035,Big Y Express,"73 Russell St, 01035",2.88,2.83,Big Y,42.3405615,-72.6018812
Hadley,01035,Stop & Shop,"446 Russell St, 01035",2.89,2.79,Stop & Shop,42.3646637,-72.5379721
Hadley,01035,Pride,"445 Russell St, 01035",2.94,2.84,Pride,42.3632797,-72.5387719
Amherst,01002,Cumberland Farms,"389 College St, 01002",2.89,2.79,Cumberland,42.373216,-72.5193521
Amherst,01002,Speedway,"468 West St, 01002",2.95,2.9,Speedway,42.3420911,-72.5198559
Amherst,01002,F.L. Roberts,"399 Northampton Rd, 01002",3.04,3.04,-,42.3661824,-72.5351597
Ludlow,01033,Cumberland Farms,"74 W State St, 01033",2.61,2.51,Cumberland,42.2466124,-72.5432172
South Deerfield,01373,Neighbors Convenience Store,"242 Conway Rd, 01373",3.03,3.03,-,42.4973938,-72.6367494
South Deerfield,01373,Irving,"1 Greenfield Rd, 01373",3.03,3.03,-,42.4708672,-72.6158055
South Deerfield,01373,Irving,"1 Sunderland Rd, 01373",3.03,3.03,-,42.4685118,-72.6135264
South Deerfield,01373,Cumberland Farms,"31 Elm St, 01373",3.03,2.93,Cumberland,42.4769319,-72.6127799
Greenfield,01301,Shell,"100 Mohawk Tr, 01301",2.77,2.72,Shell,,
Greenfield,01301,Irving,"223 Mohawk Tr, 01301",2.82,2.82,-,,
Greenfield,01301,F.L. Roberts,"63 Main St, 01301",2.74,2.74,-,42.5871489,-72.6066369
Greenfield,01301,Speedway,"245 Federal St, 01301",2.82,2.77,Speedway,42.5981415,-72.5957967
Greenfield,01301,Planet,"109 Mohawk Trail, 01301",2.77,2.77,-,42.5848575,-72.6166793
Greenfield,01301,Sunoco,"416 Federal St, 01301",2.84,2.81,Sunoco,42.6060538,-72.5895143
Greenfield,01301,Sandri,"295 Federal St, 01301",2.74,2.74,-,42.600351,-72.5939125
Greenfield,01301,Cumberland Farms,"317 Federal St, 01301",2.84,2.74,Cumberland,42.6013026,-72.593169
Greenfield,01301,Stop & Shop,"488 Bernardston Rd, 01301",2.79,2.69,Stop & Shop,42.6094682,-72.5869418
Shelburne Falls,01370,Mobil,"269 Mohawk Tr, 01370",2.99,2.96,Mobil,,
Agawam,01001,CITGO,"1 River Rd, 01001",2.69,2.69,-,42.04632,-72.6158718
Agawam,01001,CITGO,"650 Suffield St, 01001",2.69,2.69,-,42.0675744,-72.6317643
Agawam,01001,Cumberland Farms,"837 Suffield St, 01001",2.74,2.64,Cumberland,42.0606701,-72.6315678
Agawam,01001,Gulf,"18 Springfield St, 01001",2.79,2.79,-,42.0897213,-72.6280116
Agawam,01001,Mobil,"308 Suffield St, 01001",2.79,2.76,Mobil,42.0790669,-72.6300928
