City,Zip,Station,Address,Base,Discount,Lat,Long,Net
Riverhead,11901,Shell,"1733 Old Country Rd, 11901",3.85,Shell,40.9239801,-72.7023482,3.8
Riverhead,11901,Mobil,"1575 Old Country Rd, 11901",3.85,Mobil,40.9252206,-72.6951725,3.82
Riverhead,11901,Speedway,"870 Old Country Rd, 11901",3.99,Speedway,40.9346058,-72.6699464,3.94
Westhampton Beach,11978,7-Eleven,"107 Old Riverhead Rd, 11978",4.05,7-Eleven,40.8300726,-72.6474301,4.02
Quogue,11959,Speedway,"38 Montauk Hwy, 11959",4.05,Speedway,40.88464,-72.4264717,4.0
Hampton Bays,11946,7-Eleven,"192 W Montauk hwy, 11946",3.89,7-Eleven,40.8766328,-72.5321733,3.86
Hampton Bays,11946,Shell,"250 E Montauk Hwy, 11946",4.09,Shell,40.8834616,-72.5046248,4.04
Southampton,11968,Speedway,"816 CR-39, 11968",3.99,Speedway,40.8926889,-72.4251772,3.94
Water Mill,11976,Speedway,"1138 Montauk Hwy, 11976",4.09,Speedway,40.9192162,-72.3436923,4.04
Sag Harbor,11963,Gulf,"144 Hampton St, 11963",4.49,-,40.9957393,-72.2839455,4.49
Wainscott,11975,Speedway,"Unknown Address, 11975",4.19,Speedway,40.9487031,-72.2446628,4.14
East Hampton,11937,ROYAL,"23 Three Mile Harbor Rd, 11937",4.63,-,40.97458,-72.1821194,4.63
Amagansett,11930,Shell,"541 Montauk Hwy, 11930",5.24,Shell,40.978223,-72.1247553,5.19
Amagansett,11930,Mobil,"130 Main St, 11930",5.99,Mobil,40.9775166,-72.1371046,5.96
