City,Zip,Station,Address,Base,Discount,Lat,Long,Net
Springfield (East),01104,Stop & Shop,"1277 Liberty St, 01104",3.77,Stop & Shop,42.1373538,-72.5820966,3.67
Springfield (East),01104,Cumberland Farms,"798 Carew St, 01104",3.77,Cumberland,42.1258915,-72.5841307,3.67
Springfield (East),01104,Pride,"77 West St, 01104",3.84,Pride,42.1435596,-72.6112724,3.74
West Springfield,01089,Shell,"173 Elm St, 01089",3.54,Shell,42.1071429,-72.6236243,3.49
West Springfield,01089,Speedway,"341 Memorial Ave, 01089",3.62,Speedway,42.0958494,-72.6025407,3.57
West Springfield,01089,Nouria,"518 Memorial Ave, 01089",3.64,-,42.0960296,-72.606093,3.64
West Springfield,01089,Sunoco,"735 Westfield St, 01089",3.64,Sunoco,42.1033308,-72.6357365,3.61
West Springfield,01089,Sunny's Convenience Store,"2284 Westfield St, 01089",3.83,-,42.1044563,-72.6774836,3.83
West Springfield,01089,Cumberland Farms,"143 Park Ave, 01089",3.84,Cumberland,42.1047799,-72.6193478,3.74
West Springfield,01089,Cumberland Farms,"22 Park St, 01089",3.84,Cumberland,42.1080906,-72.6171258,3.74
West Springfield,01089,Shell,"2044 Riverdale St, 01089",3.99,Shell,42.1577219,-72.6327404,3.94
West Springfield,01089,Pride,"1247 Riverdale St, 01089",4.09,Pride,42.1379202,-72.6252571,3.99
West Springfield,01089,Sunoco,"2668 Westfield St, 01089",4.09,Sunoco,42.1060032,-72.6538534,4.06
West Springfield,01089,Shell,"1130 Riverdale St, 01089",4.09,Shell,42.1348232,-72.6261928,4.04
West Springfield,01089,Pride,"757 Riverdale St, 01089",4.19,Pride,42.1246626,-72.625502,4.09
West Springfield,01089,Mobil,"562 Westfield Rd, 01089",3.78,Mobil,42.1861117,-72.6524085,3.75
Westfield,01085,CITGO,"439 N Elm St, 01085",3.68,-,42.1401791,-72.7333993,3.68
Westfield,01085,Shell,"259 N Elm St, 01085",3.75,Shell,42.1359276,-72.7389062,3.7
Westfield,01085,Mobil,"181 Elm St, 01085",3.79,Mobil,42.1244206,-72.7476514,3.76
Westfield,01085,Big Y Express,"330 E Main St, 01085",3.97,Big Y,42.1137756,-72.7238961,3.92
Westfield,01085,Pride,"234 E Main St, 01085",4.09,Pride,42.1150935,-72.7284631,3.99
Westfield,01085,Irving,"1400 Russel Rd, 01085",3.68,-,41.4647535,-73.2224032,3.68
Westfield,01085,Mobil,"162 Southampton Rd, 01085",3.69,Mobil,42.1460884,-72.7310211,3.66
Westfield,01085,Gulf,"278 Elm St, 01085",3.75,-,42.1086935,-72.6235306,3.75
Chicopee,01020,Stop & Shop,"672 Memorial Dr, 01020",3.69,Stop & Shop,42.1759775,-72.5763068,3.59
Chicopee,01020,Pilot,"357 Burnett Rd, 01020",3.65,-,42.1661237,-72.546029,3.65
Chicopee,01020,BP,"1423 Memorial Dr, 01020",3.69,BP,42.1960997,-72.5739353,3.64
Chicopee,01020,Big Y Express,"1177 Granby Rd, 01020",3.73,Big Y,42.1739323,-72.5872689,3.68
Chicopee,01020,Cumberland Farms,"1061 Memorial Dr, 01020",3.71,Cumberland,42.1870792,-72.5769006,3.61
Chicopee,01020,Gulf,"646 Grattan Street, 01020",3.79,-,42.1730203,-72.5984727,3.79
Chicopee,01020,Pride,"363 Burnett Rd, 01020",3.79,Pride,42.1661787,-72.5451161,3.69
Chicopee,01020,Sunoco,"2041 Memorial Dr, 01020",3.79,Sunoco,42.2131424,-72.5723361,3.76
Chicopee,01020,F.L. Roberts,"2012 Memorial Dr, 01020",3.85,-,42.210334,-72.5714232,3.85
Chicopee,01020,Pride,"27 Montgomery St, 01020",3.89,Pride,42.1612887,-72.5824657,3.79
Chicopee,01020,CITGO,"451 Grattan St, 01020",3.89,-,42.1684674,-72.5940776,3.89
Chicopee,01020,CITGO,"817 Front St, 01020",3.99,-,42.1498779,-72.5862536,3.99
Chicopee,01020,CITGO,"1875 Memorial Dr, 01020",3.99,-,42.2082465,-72.571413,3.99
Chicopee,01020,Sunoco,"500 Montgomery St, 01020",3.99,Sunoco,42.1743862,-72.5869497,3.96
Holyoke,01040,Racing Mart,"330 Main St, 01040",3.69,-,42.2000394,-72.6061084,3.69
Holyoke,01040,Stop and Shop,"2265 Northampton, 01040",3.73,-,42.1816881,-72.6330639,3.73
Holyoke,01040,Stop & Shop,"2265 Northampton St, 01040",3.73,Stop & Shop,42.1816881,-72.6330639,3.63
Holyoke,01040,Racing Mart,"580 South St, 01040",3.73,-,42.1946675,-72.6284783,3.73
Holyoke,01040,City Gas,"3 Brown Ave, 01040",3.73,-,42.1945515,-72.6233582,3.73
Holyoke,01040,Stop & Shop,"28 Lincoln St, 01040",3.79,Stop & Shop,42.2142774,-72.6181875,3.69
Holyoke,01040,Gulf,"820 High St, 01040",3.89,-,42.19763,-72.6164858,3.89
Holyoke,01040,Shell,"1530 Northampton St, 01040",3.99,Shell,42.211614,-72.6296123,3.94
Holyoke,01040,Shell,"225 Whiting Farms Rd, 01040",4.09,Shell,42.1748898,-72.6408246,4.04
South Hadley,01075,Big Y Express,"467 Newton St, 01075",3.68,Big Y,42.235783,-72.5828163,3.63
South Hadley,01075,White Wing,"568 Newton St, 01075",3.68,-,42.2396215,-72.5815538,3.68
South Hadley,01075,Cumberland Farms,"507 Newton St, 01075",3.75,Cumberland,42.2374802,-72.5816164,3.65
South Hadley,01075,Mobil,"483 Granby Rd, 01075",3.99,Mobil,42.2350955,-72.5629626,3.96
South Hadley,01075,Sunoco,"19 Bridge St, 01075",3.99,Sunoco,42.2152143,-72.5942742,3.96
Easthampton,01027,Cumberland Farms,"231 Northampton St, 01027",3.99,Cumberland,42.2870731,-72.6626681,3.89
Easthampton,01027,7-Eleven,"97 Union St, 01027",3.99,7-Eleven,42.2669407,-72.6696351,3.96
Northampton,01060,Cumberland Farms,"134 King St, 01060",3.69,Cumberland,42.3374727,-72.6373027,3.59
Northampton,01060,Stop & Shop,"228 King St, 01060",3.79,Stop & Shop,42.3290172,-72.6358623,3.69
Northampton,01060,Big Y Express,"188 N King St, 01060",3.88,Big Y,42.3289047,-72.633738,3.83
Northampton,01060,Pride,"375 King St, 01060",3.95,Pride,42.3374852,-72.6366284,3.85
Northampton,01060,Sunoco,"776 N King St, 01060",3.99,Sunoco,42.3622644,-72.6390352,3.96
Hadley,01035,Stop & Shop,"446 Russell St, 01035",3.79,Stop & Shop,42.3646637,-72.5379721,3.69
Hadley,01035,Pride,"25 Russell St, 01035",3.95,Pride,42.33861,-72.60906,3.85
Hadley,01035,Pride,"445 Russell St, 01035",4.09,Pride,42.3632797,-72.5387719,3.99
Amherst,01002,Cumberland Farms,"389 College St, 01002",3.79,Cumberland,42.373216,-72.5193521,3.69
Amherst,01002,Speedway,"468 West St, 01002",3.79,Speedway,42.3420911,-72.5198559,3.74
Amherst,01002,F.L. Roberts,"399 Northampton Rd, 01002",4.09,-,42.3661824,-72.5351597,4.09
Ludlow,01033,Cumberland Farms,"74 W State St, 01033",3.79,Cumberland,42.2466124,-72.5432172,3.69
South Deerfield,01373,Cumberland Farms,"31 Elm St, 01373",3.87,Cumberland,42.5038547,-71.1615121,3.77
South Deerfield,01373,Irving,"1 Sunderland Rd, 01373",3.87,-,42.4685118,-72.6135264,3.87
South Deerfield,01373,Irving,"1 Greenfield Rd, 01373",3.85,-,42.4708672,-72.6158055,3.85
Greenfield,01301,Irving,"223 Mohawk Tr, 01301",3.73,-,41.6586025,-74.807643,3.73
Greenfield,01301,Cumberland Farms,"317 Federal St, 01301",3.79,Cumberland,42.6013026,-72.593169,3.69
Greenfield,01301,Sandri,"295 Federal St, 01301",3.71,-,42.600351,-72.5939125,3.71
Greenfield,01301,Stop & Shop,"488 Bernardston Rd, 01301",3.77,Stop & Shop,42.6094682,-72.5869418,3.67
Greenfield,01301,Speedway,"245 Federal St, 01301",3.71,Speedway,42.5981415,-72.5957967,3.66
Greenfield,01301,Planet,"109 Mohawk Trail, 01301",3.85,-,42.5848575,-72.6166793,3.85
Greenfield,01301,Shell,"242 Mohawk Tr, 01301",3.85,Shell,41.6585158,-74.8076132,3.8
Greenfield,01301,Mobil,"142 Mohawk Tr, 01301",3.85,Mobil,41.6585209,-74.8076619,3.82
Greenfield,01301,Sunoco,"416 Federal St, 01301",3.89,Sunoco,42.6060538,-72.5895143,3.86
Greenfield,01301,F.L. Roberts,"63 Main St, 01301",3.99,-,42.5871489,-72.6066369,3.99
Shelburne Falls,01370,Mobil,"269 Mohawk Tr, 01370",3.89,Mobil,41.6586025,-74.807643,3.86
Agawam,01001,Shell,"325 Main St, 01001",3.69,Shell,42.082285,-72.6158119,3.64
Agawam,01001,Shell,"6 Lealand Ave, 01001",3.79,Shell,42.071971,-72.6152387,3.74
Agawam,01001,Cumberland Farms,"837 Suffield St, 01001",3.82,Cumberland,42.0606701,-72.6315678,3.72
Agawam,01001,CITGO,"650 Suffield St, 01001",3.84,-,42.0675744,-72.6317643,3.84
Agawam,01001,CITGO,"1 River Rd, 01001",3.89,-,42.04632,-72.6158718,3.89
