City,Zip,Station,Address,Base,Discount,Lat,Long,Net
Springfield (East),01104,Pride,"77 West St, 01104",3.69,Pride,42.1435596,-72.6112724,3.59
Springfield (East),01104,Stop & Shop,"1277 Liberty St, 01104",3.75,Stop & Shop,42.1373538,-72.5820966,3.65
Springfield (East),01104,Racing Mart,"1037 St James Ave, 01104",3.73,-,42.1371817,-72.5693712,3.73
Springfield (East),01104,Speedway,"80 St James Blvd, 01104",3.71,Speedway,42.1356575,-72.5683105,3.66
Springfield (East),01104,CITGO,"289 Carew St, 01104",3.72,-,42.149015,-72.5644193,3.72
Springfield (East),01104,BD Mart,"20 East St, 01104",3.69,-,42.1481272,-72.5629038,3.69
West Springfield,01089,Mobil,"562 Westfield Rd, 01089",3.53,Mobil,42.1861117,-72.6524085,3.5
West Springfield,01089,Speedway,"341 Memorial Ave, 01089",3.65,Speedway,42.0958494,-72.6025407,3.6
West Springfield,01089,Nouria,"518 Memorial Ave, 01089",3.64,-,42.0960296,-72.606093,3.64
West Springfield,01089,Sunny's Convenience Store,"2284 Westfield St, 01089",3.69,-,42.1044563,-72.6774836,3.69
West Springfield,01089,Cumberland Farms,"143 Park Ave, 01089",3.75,Cumberland,42.1047799,-72.6193478,3.65
West Springfield,01089,Cumberland Farms,"22 Park St, 01089",3.75,Cumberland,42.1080906,-72.6171258,3.65
West Springfield,01089,Sunoco,"735 Westfield St, 01089",3.89,Sunoco,42.1033308,-72.6357365,3.86
West Springfield,01089,Pride,"757 Riverdale St, 01089",3.99,Pride,42.1246626,-72.625502,3.89
West Springfield,01089,Shell,"173 Elm St, 01089",3.98,Shell,42.1071429,-72.6236243,3.93
West Springfield,01089,Pride,"1247 Riverdale St, 01089",3.99,Pride,42.1379202,-72.6252571,3.89
West Springfield,01089,Shell,"1130 Riverdale St, 01089",4.04,Shell,42.1348232,-72.6261928,3.99
Westfield,01085,Mobil,"181 Elm St, 01085",3.75,Mobil,42.1244206,-72.7476514,3.72
Westfield,01085,Shell,"259 N Elm St, 01085",3.79,Shell,42.1359276,-72.7389062,3.74
Westfield,01085,Big Y Express,"330 E Main St, 01085",3.79,Big Y,42.1137756,-72.7238961,3.74
Westfield,01085,Mobil,"162 Southampton Rd, 01085",3.79,Mobil,42.1460884,-72.7310211,3.76
Westfield,01085,Cumberland Farms,"1134 Southampton Rd, 01085",3.82,Cumberland,42.1825106,-72.7271699,3.72
Westfield,01085,CITGO,"439 N Elm St, 01085",3.78,-,42.1401791,-72.7333993,3.78
Westfield,01085,Cumberland Farms,"69 Main St, 01085",3.79,Cumberland,42.1202361,-72.7456415,3.69
Westfield,01085,CITGO,"41 Franklin St, 01085",3.73,-,42.1250645,-72.7500438,3.73
Westfield,01085,Shell,"27 Southwick Rd, 01085",3.89,Shell,42.1003913,-72.7636975,3.84
Westfield,01085,Sunoco,"88 S Maple St, 01085",3.89,Sunoco,41.9829506,-72.5400431,3.86
Westfield,01085,Gulf,"278 Elm St, 01085",3.99,-,42.1086935,-72.6235306,3.99
Westfield,01085,Irving,"1400 Russel Rd, 01085",4.19,-,41.4647535,-73.2224032,4.19
Chicopee,01020,Pride,"363 Burnett Rd, 01020",3.59,Pride,42.1661787,-72.5451161,3.49
Chicopee,01020,Pilot,"357 Burnett Rd, 01020",3.59,-,42.1661237,-72.546029,3.59
Chicopee,01020,Stop & Shop,"672 Memorial Dr, 01020",3.69,Stop & Shop,42.1759775,-72.5763068,3.59
Chicopee,01020,CITGO,"817 Front St, 01020",3.79,-,42.1498779,-72.5862536,3.79
