City,Zip,Station,Address,Base,Discount,Lat,Long,Net
Columbia (Town Center),21044,BP,"5485 HARPERS FARM RD, 21044",4.39,BP,39.2220799,-76.8907487,4.34
Columbia (Town Center),21044,Exxon,"10611 Little Patuxent Pkwy, 21044",4.59,Exxon,39.213332,-76.8709132,4.56
Columbia (Town Center),21044,Exxon,"10141 Little Patuxent Pkwy, 21044",4.59,Exxon,39.2181995,-76.8577067,4.56
Columbia (East),21045,Liberty,"6425 Dobbin Center Way, 21045",3.89,-,39.1968235,-76.8216821,3.89
Columbia (East),21045,7-Eleven,"5901 Stevens Forest Rd, 21045",3.98,7-Eleven,39.210533,-76.847772,3.95
Columbia (East),21045,7-Eleven,"8251 Snowden River Pkwy, 21045",3.98,7-Eleven,39.2090716,-76.8034905,3.95
Columbia (East),21045,Exxon,"6004 Foreland Garth, 21045",4.09,Exxon,39.2049806,-76.8164844,4.06
Columbia (East),21045,Mobil,"6251 Columbia Crossing Cir, 21045",4.19,Mobil,39.1995215,-76.8147128,4.16
Columbia (East),21045,Shell,"7248 Cradlerock Way, 21045",4.19,Shell,39.1862523,-76.8457193,4.14
Columbia (South),21046,Exxon,"6300 Stevens Forest, 21046",3.99,Exxon,39.1973061,-76.8530941,3.96
Columbia (South),21046,Royal Farms,"7084 Minstrel Way, 21046",3.99,Royal Farms,39.1759477,-76.8444624,3.89
Columbia (South),21046,Shell,"9101 Snowden River Pkwy, 21046",4.19,Shell,39.1827983,-76.8205935,4.14
Columbia (South),21046,Exxon,"7201 Eden Brook Dr, 21046",4.29,Exxon,39.1698781,-76.8656991,4.26
Ellicott City (West),21042,Sunoco,"9395 Baltimore National Pike, 21042",4.09,Sunoco,39.2772371,-76.8350415,4.06
Ellicott City (West),21042,Mobil,"9320 Baltimore National Pike, 21042",4.15,Mobil,39.2779163,-76.8325436,4.12
Ellicott City (West),21042,Carroll Motor Fuels,"9109 BALTIMORE NATIONAL PIKE, 21042",4.11,-,39.2771741,-76.8262007,4.11
Ellicott City (West),21042,Sunoco,"10214 Baltimore National Pike, 21042",4.15,Sunoco,39.2803307,-76.8652201,4.12
