City,Zip,Station,Address,Base,Discount,Lat,Long,Net
Springfield (East),01104,Cumberland Farms,"798 Carew St, 01104",3.76,Cumberland,42.1258915,-72.5841307,3.66
Springfield (East),01104,CITGO,"289 Carew St, 01104",3.72,-,42.149015,-72.5644193,3.72
Springfield (East),01104,Pride,"77 West St, 01104",3.77,Pride,42.1435596,-72.6112724,3.67
Springfield (East),01104,Pride,"549 Page Blvd, 01104",3.79,Pride,42.1395392,-72.5601149,3.69
Springfield (East),01104,Racing Mart,"612 Carew St, 01104",3.77,-,42.1225238,-72.5887328,3.77
Springfield (East),01104,Liberty Gas,"668 Liberty St, 01104",3.77,-,42.1214212,-72.5846698,3.77
Springfield (East),01104,BD Mart,"20 East St, 01104",3.79,-,42.1481272,-72.5629038,3.79
Springfield (East),01104,Stop & Shop,"1277 Liberty St, 01104",3.79,Stop & Shop,42.1373538,-72.5820966,3.69
Springfield (East),01104,Shell,"2221 Main St, 01104",3.89,Shell,42.1101407,-72.6006844,3.84
Springfield (East),01104,CITGO,"1271 Page Blvd, 01104",3.83,-,42.1498946,-72.5374867,3.83
West Springfield,01089,Nouria,"518 Memorial Ave, 01089",3.54,-,42.0960296,-72.606093,3.54
West Springfield,01089,Cumberland Farms,"143 Park Ave, 01089",3.67,Cumberland,42.1047799,-72.6193478,3.57
West Springfield,01089,Cumberland Farms,"22 Park St, 01089",3.67,Cumberland,42.1080906,-72.6171258,3.57
West Springfield,01089,Shell,"173 Elm St, 01089",3.85,Shell,42.1071429,-72.6236243,3.8
West Springfield,01089,Pride,"1247 Riverdale St, 01089",3.89,Pride,42.1379202,-72.6252571,3.79
West Springfield,01089,Sunoco,"735 Westfield St, 01089",3.89,Sunoco,42.1033308,-72.6357365,3.86
West Springfield,01089,Pride,"757 Riverdale St, 01089",3.99,Pride,42.1246626,-72.625502,3.89
West Springfield,01089,Shell,"1130 Riverdale St, 01089",4.09,Shell,42.1348232,-72.6261928,4.04
