City,Zip,Station,Address,Base,Net,Discount,Lat,Long
Scaggsville / Laurel,20723,7-Eleven,"9651 Washington Blvd N, 20723",2.89,2.86,7-Eleven,,
Scaggsville / Laurel,20723,Exxon,"9275 All Saints Rd, 20723",2.99,2.96,Exxon,,
Scaggsville / Laurel,20723,Weis,"9250 Washington Blvd N, 20723",2.89,2.89,-,,
Scaggsville / Laurel,20723,Exxon,"8850 Gorman Rd, 20723",3.13,3.1,Exxon,,
Scaggsville / Laurel,20723,Exxon,"7500 Montpelier Rd, 20723",3.29,3.26,Exxon,,
Columbia (Wilde Lake / Town Center),21044,BP,"5485 HARPERS FARM RD, 21044",3.19,3.14,BP,,
Columbia (Wilde Lake / Town Center),21044,Sunoco,"6440 Freetown Rd, 21044",3.35,3.32,Sunoco,,
Columbia (Wilde Lake / Town Center),21044,Exxon,"10611 Little Patuxent Pkwy, 21044",3.49,3.46,Exxon,,
Columbia (Wilde Lake / Town Center),21044,Exxon,"10141 Little Patuxent Pkwy, 21044",3.59,3.56,Exxon,,
Columbia (East),21045,Liberty,"6425 Dobbin Center Way, 21045",2.75,2.75,-,,
Columbia (East),21045,7-Eleven,"5901 Stevens Forest Rd, 21045",2.85,2.82,7-Eleven,,
Columbia (East),21045,7-Eleven,"8251 Snowden River Pkwy, 21045",2.88,2.85,7-Eleven,,
Columbia (East),21045,Exxon,"7100 Minstrel Way, 21045",2.89,2.86,Exxon,,
Columbia (East),21045,Mobil,"6251 Columbia Crossing Cir, 21045",2.99,2.96,Mobil,,
Columbia (East),21045,Shell,"7248 Cradlerock Way, 21045",2.99,2.94,Shell,,
Columbia (East),21045,Exxon,"6004 Foreland Garth, 21045",2.99,2.96,Exxon,,
Columbia (Guilford),21046,Royal Farms,"7084 Minstrel Way, 21046",2.89,2.79,Royal Farms,,
Columbia (Guilford),21046,Exxon,"6300 Stevens Forest, 21046",2.95,2.92,Exxon,,
Columbia (Guilford),21046,Shell,"9101 Snowden River Pkwy, 21046",2.99,2.94,Shell,,
Columbia (Guilford),21046,Exxon,"7201 Eden Brook Dr, 21046",3.19,3.16,Exxon,,
Ellicott City (Central),21042,Mobil,"9320 Baltimore National Pike, 21042",2.85,2.82,Mobil,,
Ellicott City (Central),21042,Carroll Motor Fuels,"9109 BALTIMORE NATIONAL PIKE, 21042",2.81,2.81,-,,
Ellicott City (Central),21042,Dash-In,"9075 Baltimore National Pike, 21042",2.94,2.94,-,,
Ellicott City (Central),21042,Sunoco,"10214 Baltimore National Pike, 21042",2.95,2.92,Sunoco,,
Ellicott City (Central),21042,Sunoco,"9395 Baltimore National Pike, 21042",2.95,2.92,Sunoco,,
Ellicott City (Central),21042,Shell,"4755 Dorsey Hall Dr, 21042",3.19,3.14,Shell,,
Ellicott City (North),21043,Carroll Motor Fuels,"4132 Old Columbia Pike, 21043",2.81,2.81,-,,
Ellicott City (North),21043,BP,"8505 Baltimore National Pike, 21043",2.81,2.76,BP,,
Ellicott City (North),21043,Exxon,"4235 Montgomery Rd, 21043",2.83,2.8,Exxon,,
Ellicott City (North),21043,Shell,"64 Frederick Rd, 21043",2.89,2.84,Shell,,
Ellicott City (North),21043,Carroll Motor Fuels,"8720 Baltimore National Pike, 21043",2.87,2.87,-,,
Ellicott City (North),21043,Dash In,"4205 Montgomery Rd, 21043",2.88,2.88,-,,
Ellicott City (North),21043,Sunoco,"8411 Baltimore National Pike, 21043",2.89,2.86,Sunoco,,
Ellicott City (North),21043,Mobil,"4398 Montgomery Rd, 21043",2.89,2.86,Mobil,,
Ellicott City (North),21043,Exxon,"8850 Centre Park Dr, 21043",3.09,3.06,Exxon,,
Ellicott City (North),21043,Shell,"5651 Waterloo Rd, 21043",3.14,3.09,Shell,,
Ellicott City (North),21043,High's,"3095 Rogers Ave, 21043",2.87,2.82,High's,,
Severn,21144,7-Eleven,"500 Donaldson Ave, 21144",2.86,2.83,7-Eleven,,
Severn,21144,Exxon,"805 Reece Rd, 21144",2.89,2.86,Exxon,,
Severn,21144,Sunoco,"8272 Quarterfield Rd, 21144",2.89,2.86,Sunoco,,
Severn,21144,Royal Farms,"7843 Telegraph Rd, 21144",2.89,2.79,Royal Farms,,
