City,Zip,Station,Address,Base,Discount,Lat,Long,Net
Scaggsville / Laurel,20723,7-Eleven,"9651 Washington Blvd N Laurel, MD, 20723",3.09,7-Eleven,39.1145065,-76.8332451,3.06
Scaggsville / Laurel,20723,Exxon,"9275 All Saints Rd Laurel, MD, 20723",3.09,Exxon,39.1189484,-76.8513125,3.06
Scaggsville / Laurel,20723,Exxon,"8850 Gorman Rd Laurel, MD, 20723",3.19,Exxon,39.1315267,-76.8193204,3.16
Scaggsville / Laurel,20723,Exxon,"7500 Montpelier Rd Laurel, MD, 20723",3.39,Exxon,39.1605066,-76.8919581,3.36
Scaggsville / Laurel,20723,Shell,"9280 All Saints Rd Laurel, MD, 20723",3.0,Shell,39.1195226,-76.8519516,2.95
Columbia (Wilde Lake / Town Center),21044,BP,"5485 HARPERS FARM RD Columbia, MD, 21044",3.29,BP,39.2222482,-76.8891396,3.24
Columbia (Wilde Lake / Town Center),21044,Sunoco,"6440 Freetown Rd, 21044",3.49,Sunoco,39.1950229,-76.8817831,3.46
Columbia (Wilde Lake / Town Center),21044,Exxon,"10141 Little Patuxent Pkwy Columbia, MD, 21044",3.69,Exxon,39.2181995,-76.8577067,3.66
Columbia (Wilde Lake / Town Center),21044,Exxon,"10611 Little Patuxent Pkwy Columbia, MD, 21044",3.59,Exxon,39.213332,-76.8709132,3.56
Columbia (East),21045,Liberty,"6425 Dobbin Center Way Columbia, MD, 21045",2.97,-,,,2.97
Columbia (East),21045,Exxon,"6004 Foreland Garth Columbia, MD, 21045",2.99,Exxon,,,2.96
Columbia (East),21045,Mobil,"6251 Columbia Crossing Cir Columbia, MD, 21045",3.09,Mobil,39.1995215,-76.8147128,3.06
Columbia (East),21045,7-Eleven,"5901 Stevens Forest Rd Columbia, MD, 21045",3.09,7-Eleven,39.2096156,-76.8479806,3.06
Columbia (East),21045,Shell,"7248 Cradlerock Way Columbia, MD, 21045",3.09,Shell,39.1860412,-76.8456123,3.04
Columbia (East),21045,Exxon,"7100 Minstrel Way Columbia, MD, 21045",3.09,Exxon,39.1770183,-76.8436668,3.06
Columbia (East),21045,7-Eleven,"8251 Snowden River Pkwy Columbia, MD, 21045",3.29,7-Eleven,39.2090716,-76.8034905,3.26
Columbia (Guilford),21046,Exxon,"6300 Stevens Forest, 21046",2.99,Exxon,39.1973061,-76.8530941,2.96
Columbia (Guilford),21046,Royal Farms,"7084 Minstrel Way Columbia, MD, 21046",3.09,Royal Farms,,,2.99
Columbia (Guilford),21046,Shell,"9101 Snowden River Pkwy Columbia, MD, 21046",3.15,Shell,39.1806134,-76.8250707,3.1
Columbia (Guilford),21046,Exxon,"7201 Eden Brook Dr, 21046",3.0,Exxon,39.1698781,-76.8656991,2.97
Ellicott City (Central),21042,Sunoco,"10214 Baltimore National Pike, 21042",3.05,Sunoco,39.2803307,-76.8652201,3.02
Ellicott City (Central),21042,Carroll Motor Fuels,"9109 BALTIMORE NATIONAL PIKE Ellicott City, MD, 21042",3.01,-,39.2771741,-76.8262007,3.01
Ellicott City (Central),21042,Mobil,"9320 Baltimore National Pike Ellicott City, MD, 21042",3.06,Mobil,39.2779163,-76.8325436,3.03
Ellicott City (Central),21042,Dash-In,"9075 Baltimore National Pike Ellicott City, MD, 21042",3.09,-,39.2762251,-76.8250029,3.09
Ellicott City (Central),21042,Sunoco,"9395 Baltimore National Pike Ellicott City, MD, 21042",3.09,Sunoco,39.2772371,-76.8350415,3.06
Ellicott City (Central),21042,Shell,"4755 Dorsey Hall Dr Ellicott City, MD, 21042",3.39,Shell,39.2423537,-76.8403131,3.34
Ellicott City (North),21043,Carroll Motor Fuels,"8720 Baltimore National Pike Ellicott City, MD, 21043",2.81,-,39.2808054,-76.8147058,2.81
Ellicott City (North),21043,Carroll Motor Fuels,"8300 Baltimore National Pike Ellicott City, MD, 21043",2.81,-,39.2895052,-76.7997418,2.81
Ellicott City (North),21043,BP,"8505 Baltimore National Pike Ellicott City, MD, 21043",2.99,BP,39.2842309,-76.8075056,2.94
Ellicott City (North),21043,Carroll Motor Fuels,"4132 Old Columbia Pike Ellicott City, MD, 21043",3.01,-,39.2565046,-76.8197592,3.01
Ellicott City (North),21043,Exxon,"4235 Montgomery Rd Ellicott City, MD, 21043",3.03,Exxon,39.2554156,-76.8184372,3.0
Ellicott City (North),21043,Dash In,"4205 Montgomery Rd Ellicott City, MD, 21043",3.09,-,39.2561283,-76.8190081,3.09
Ellicott City (North),21043,Mobil,"4398 Montgomery Rd Ellicott City, MD, 21043",3.09,Mobil,39.2520755,-76.8165282,3.06
Ellicott City (North),21043,Exxon,"8850 Centre Park Dr Columbia, MD, 21043",3.19,Exxon,,,3.16
Ellicott City (North),21043,Shell,"5651 Waterloo Rd Ellicott City, MD, 21043",3.19,Shell,39.2160123,-76.8043082,3.14
Ellicott City (North),21043,High's,"3095 Rogers Ave Ellicott City, MD, 21043",3.27,High's,39.2874075,-76.8091156,3.22
Severn,21144,7-Eleven,"500 Donaldson Ave Severn, MD, 21144",3.09,7-Eleven,39.136636,-76.659232,3.06
Severn,21144,Sunoco,"8272 Quarterfield Rd Severn, MD, 21144",3.09,Sunoco,39.1165734,-76.681597,3.06
Severn,21144,Exxon,"805 Reece Rd Severn, MD, 21144",3.29,Exxon,39.1361231,-76.6867451,3.26
