City,Zip,Station,Address,Base,Discount,Lat,Long,Net
Westhampton Beach,11978,Valero,"112 Montauk Hwy, 11978",3.75,-,40.8012031,-72.7825196,3.75
Westhampton Beach,11978,7-Eleven,"107 Old Riverhead Rd, 11978",4.05,7-Eleven,40.8300726,-72.6474301,4.02
Quogue,11959,Speedway,"38 Montauk Hwy, 11959",4.05,Speedway,40.88464,-72.4264717,4.0
Hampton Bays,11946,7-Eleven,"192 W Montauk hwy, 11946",3.89,7-Eleven,40.8766328,-72.5321733,3.86
Southampton,11968,Speedway,"816 CR-39, 11968",3.99,Speedway,40.8926889,-72.4251772,3.94
Southampton,11968,Shell,"1630 CR-39, 11968",3.79,Shell,40.8949342,-72.4534478,3.74
Water Mill,11976,Shell,"960 Montauk Hwy, 11976",3.99,Shell,40.915432,-72.3479645,3.94
Water Mill,11976,Speedway,"1138 Montauk Hwy, 11976",4.09,Speedway,40.9192162,-72.3436923,4.04
Sag Harbor,11963,Gulf,"144 Hampton St, 11963",4.49,-,40.9957393,-72.2839455,4.49
Wainscott,11975,Speedway,"Unknown Address, 11975",4.19,Speedway,40.9487031,-72.2446628,4.14
East Hampton,11937,ROYAL,"23 Three Mile Harbor Rd, 11937",4.63,-,40.97458,-72.1821194,4.63
